@ -0,0 +1,342 @@
﻿Benchmark data sets for SALBP-2;;;;
;;;;
References: ;;;;
;Scholl, A. (1993): Data of assembly line balancing problems. Schriften zur Quantitativen Betriebswirtschaftslehre 16/93, TU Darmstadt.;;;
;Scholl, A. (1999): Balancing and sequencing of assembly lines. 2nd ed., Physica, Heidelberg.;;;
;;;;
Notation:;;;;
;m;given number of stations ;;
;c*;minimal cycle time ;;
;[LB,UB];range of possible optimal objective function values if c* is still unknown;;
;;;;
Call for optimal solutions:;"To some instances optimal solutions are currently unknown. Therefore, interested researchers are asked for sending data of optimal solutions to these instances as soon as they are found by any exact solution procedure. Please send a mail containing the name of the precedence graph, the given cycle time and the minimal number of stations together with a list of station numbers to which the tasks (in their numbering order) are assigned.

Mail address: scholl@assembly-line-balancing.de

Example mail:
Bowman 20 5 1 2 3 4 3 4 5 4

Explanation: Instance with precedence graph Bowman and m=5, solution with c=20 stations and the following station loads found:
S1={1}, S2={2}, S3={3,5}, S4={4,6,8}, S5={7}

If the solution can be verified as really being optimal (and feasible) the new optimal value will be added to the list together with the name of the person who found it.";;;
;;;;
Data set 1:;;;;
;;;;
Number of instances: 128 (119 solved to optimality);;;;
Number of tasks: 30 to 111;;;;
;;;;
Precedence graph;m (given);c* or [LB,UB];Solution due to;Method
Buxey;7;47;;
Buxey;8;41;;
Buxey;9;37;;
Buxey;10;34;;
Buxey;11;32;;
Buxey;12;28;;
Buxey;13;27;;
Buxey;14;25;;
Gunther;6;84;;
Gunther;7;72;;
Gunther;8;63;;
Gunther;9;54;;
Gunther;10;50;;
Gunther;11;48;;
Gunther;12;44;;
Gunther;13;42;;
Gunther;14;40;;
Gunther;15;40;;
Kilbridge;3;184;;
Kilbridge;4;138;;
Kilbridge;5;111;;
Kilbridge;6;92;;
Kilbridge;7;79;;
Kilbridge;8;69;;
Kilbridge;9;62;;
Kilbridge;10;56;;
Kilbridge;11;55;;
Lutz1;8;1860;;
Lutz1;9;1638;;
Lutz1;10;1526;;
Lutz1;11;1400;;
Lutz1;12;1400;;
Lutz2;9;54;;
Lutz2;10;49;;
Lutz2;11;45;;
Lutz2;12;41;;
Lutz2;13;38;;
Lutz2;14;35;;
Lutz2;15;33;;
Lutz2;16;31;;
Lutz2;17;29;;
Lutz2;18;28;;
Lutz2;19;26;;
Lutz2;20;25;;
Lutz2;21;24;;
Lutz2;22;23;;
Lutz2;23;22;;
Lutz2;24;21;;
Lutz2;25;20;;
Lutz2;26;19;;
Lutz2;27;19;;
Lutz2;28;18;;
Sawyer;7;47;;
Sawyer;8;41;;
Sawyer;9;37;;
Sawyer;10;34;;
Sawyer;11;31;;
Sawyer;12;28;;
Sawyer;13;26;;
Sawyer;14;25;;
Tonge;3;1170;;
Tonge;4;878;;
Tonge;5;702;;
Tonge;6;585;;
Tonge;7;502;;
Tonge;8;439;;
Tonge;9;391;;
Tonge;10;352;;
Tonge;11;320;;
Tonge;12;294;;
Tonge;13;271;;
Tonge;14;251;;
Tonge;15;235;;
Tonge;16;221;;
Tonge;17;208;;
Tonge;18;196;;
Tonge;19;186;;
Tonge;20;177;;
Tonge;21;170;;
Tonge;22;162;;
Tonge;23;156;;
Tonge;24;156;;
Tonge;25;156;;
Arcus1;3;25236;;
Arcus1;4;18927;;
Arcus1;5;15142;;
Arcus1;6;12620;;
Arcus1;7;10826;;
Arcus1;8;9554;;
Arcus1;9;8499;;
Arcus1;10;7580;;
Arcus1;11;7084;;
Arcus1;12;6412;;
Arcus1;13;5864;;
Arcus1;14;5441;;
Arcus1;15;5104;;
Arcus1;16;4850;;
Arcus1;17;4516;;
Arcus1;18;4317;;
Arcus1;19;4068;;
Arcus1;20;3882;;
Arcus1;21;3691;;
Arcus1;22;3691;;
Arcus2;3;50133;;
Arcus2;4;37600;;
Arcus2;5;30080;;
Arcus2;6;25067;;
Arcus2;7;21486;;
Arcus2;8;18800;;
Arcus2;9;16711;;
Arcus2;10;15040;;
Arcus2;11;13673;;
Arcus2;12;12534;;
Arcus2;13;11570;;
Arcus2;14;10747;;
Arcus2;15;10035;;
Arcus2;16;9412;;
Arcus2;17;8855;;
Arcus2;18;[8376,8377];;
Arcus2;19;[7920,7922];Dr. Christian Blum, Barcelona;Iterative Beam Search
Arcus2;20;[7520,7524];Dr. Christian Blum, Barcelona;Iterative Beam Search
Arcus2;21;[7181,7187];Dr. Christian Blum, Barcelona;Iterative Beam Search
