Arcus2;22;[6839,6856];Dr. Christian Blum, Barcelona;Iterative Beam Search
Arcus2;23;[6551,6560];Dr. Christian Blum, Barcelona;Iterative Beam Search
Arcus2;24;[6273,6282];Dr. Christian Blum, Barcelona;Iterative Beam Search
Arcus2;25;[6085,6101];Dr. Christian Blum, Barcelona;Iterative Beam Search
Arcus2;26;[5844,5855];Dr. Christian Blum, Barcelona;Iterative Beam Search
Arcus2;27;5689;;
;;;;
;;;;
;;;;
;;;;
Data set 2:;;;;
;;;;
;;;;
Number of instances: 174 (168 solved to optimality);;;;
Number of tasks: 53 to 297;;;;
;;;;
Precedence graph;m (given);c* or [LB,UB];Solution due to;Method
Hahn;3;4787;;
Hahn;4;3677;;
Hahn;5;2823;;
Hahn;6;2400;;
Hahn;7;2336;;
Hahn;8;1907;;
Hahn;9;1827;;
Hahn;10;1775;;
Warnecke;3;516;;
Warnecke;4;387;;
Warnecke;5;310;;
Warnecke;6;258;;
Warnecke;7;222;;
Warnecke;8;194;;
Warnecke;9;172;;
Warnecke;10;155;;
Warnecke;11;142;;
Warnecke;12;130;;
Warnecke;13;120;;
Warnecke;14;111;;
Warnecke;15;104;;
Warnecke;16;98;;
Warnecke;17;92;;
Warnecke;18;87;;
Warnecke;19;84;;
Warnecke;20;79;;
Warnecke;21;76;;
Warnecke;22;73;;
Warnecke;23;69;;
Warnecke;24;66;;
Warnecke;25;64;;
Warnecke;26;64;;
Warnecke;27;60;;
Warnecke;28;59;;
Warnecke;29;56;;
Wee-Mag;3;500;;
Wee-Mag;4;375;;
Wee-Mag;5;300;;
Wee-Mag;6;250;;
Wee-Mag;7;215;;
Wee-Mag;8;188;;
Wee-Mag;9;167;;
Wee-Mag;10;150;;
Wee-Mag;11;137;;
Wee-Mag;12;125;;
Wee-Mag;13;116;;
Wee-Mag;14;108;;
Wee-Mag;15;100;;
Wee-Mag;16;94;;
Wee-Mag;17;89;;
Wee-Mag;18;[84,87];;
Wee-Mag;19;[84,85];;
Wee-Mag;20;77;;
Wee-Mag;21;72;;
Wee-Mag;22;69;;
Wee-Mag;23;[66,67];;
Wee-Mag;24;66;;
Wee-Mag;25;65; This corrected solution is due to Christian Blum, Barcelona!;
Wee-Mag;26;65;;
Wee-Mag;27;[63,65];;
Wee-Mag;28;[63,64];;
Wee-Mag;29;63;;
Wee-Mag;30;56;;
Lutz3;3;548;;
Lutz3;4;411;;
Lutz3;5;329;;
Lutz3;6;275;;
Lutz3;7;236;;
Lutz3;8;207;;
Lutz3;9;184;;
Lutz3;10;165;;
Lutz3;11;151;;
Lutz3;12;138;;
Lutz3;13;128;;
Lutz3;14;118;;
Lutz3;15;110;;
Lutz3;16;105;;
Lutz3;17;98;;
Lutz3;18;93;;
Lutz3;19;89;;
Lutz3;20;85;;
Lutz3;21;80;;
Lutz3;22;76;;
Lutz3;23;74;;
Mukherje;3;1403;;
Mukherje;4;1052;;
Mukherje;5;844;;
Mukherje;6;704;;
Mukherje;7;621;;
Mukherje;8;532;;
Mukherje;9;471;;
Mukherje;10;424;;
Mukherje;11;391;;
Mukherje;12;358;;
Mukherje;13;325;;
Mukherje;14;311;;
Mukherje;15;288;;
Mukherje;16;268;;
Mukherje;17;251;;
Mukherje;18;239;;
Mukherje;19;226;;
Mukherje;20;220;;
Mukherje;21;208;;
Mukherje;22;200;;
Mukherje;23;189;;
Mukherje;24;179;;
Mukherje;25;172;;
Mukherje;26;171;;
Barthold;3;1878;;
Barthold;4;1409;;
Barthold;5;1127;;
Barthold;6;939;;
Barthold;7;805;;
Barthold;8;705;;
Barthold;9;626;;
Barthold;10;564;;
Barthold;11;513;;
Barthold;12;470;;
Barthold;13;434;;
Barthold;14;403;;
Barthold;15;383;;
Barthol2;27;157;;
Barthol2;28;152;;
Barthol2;29;146;;
Barthol2;30;142;;
Barthol2;31;137;;
Barthol2;32;133;;
Barthol2;33;129;;
Barthol2;34;125;;
Barthol2;35;121;;
Barthol2;36;118;;
Barthol2;37;115;;
Barthol2;38;112;;
Barthol2;39;109;;
Barthol2;40;106;;
Barthol2;41;104;;
Barthol2;42;101;;
Barthol2;43;99;;
Barthol2;44;97;;
Barthol2;45;95;;
Barthol2;46;93;;
Barthol2;47;91;;
Barthol2;48;89;;
Barthol2;49;87;;
Barthol2;50;85;Dr. E. Falkenauer, Brussels;Grouping GA
Barthol2;51;84;;
Scholl;25;2787;;
Scholl;26;2680;;
Scholl;27;2580;;
Scholl;28;2488;;
Scholl;29;2402;;
Scholl;30;2322;;
Scholl;31;2247;;
Scholl;32;2177;;
Scholl;33;2111;;
Scholl;34;2049;;
Scholl;35;1991;;
Scholl;36;1935;;
Scholl;37;1883;;
Scholl;38;1834;;
Scholl;39;1787;Dr. E. Falkenauer, Brussels;Grouping GA
Scholl;40;1742;;
Scholl;41;1700;;
Scholl;42;1659;;
Scholl;43;1621;;
Scholl;44;1584;;
Scholl;45;1549;;
Scholl;46;1515;;
Scholl;47;1483;;
Scholl;48;1452;;
Scholl;49;1423;Dr. Christian Blum, Barcelona;Iterative Beam Search
Scholl;50;1394;Dr. E. Falkenauer, Brussels;Grouping GA
Scholl;51;1386;;
Scholl;52;1386;;
